Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Alona Vladi,F,SBD,Raw,33,24-34,24-39,O,58.3,60,75,80,-90,,80,50,55,60,,60,95,105,107.5,,107.5,247.5,1,279.44,282.18,249.42,57.10,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Galina Solovyanova,F,SBD,Raw,43,40-44,40-49,M1,73.1,75,95,100,105,,105,62.5,67.5,-72.5,,67.5,100,110,-120,,110,282.5,1,278.95,272.99,240.35,56.76,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Daniil Voronin,M,SBD,Raw,15.5,16-17,14-18,T,67.4,75,85,90,100,,100,55,62.5,-65,,62.5,90,100,105,,105,267.5,1,206.40,206.49,200.45,41.24,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Aleksey Krasov,M,SBD,Raw,35,35-39,24-39,O,66.65,75,125,132,137.5,,137.5,115,122.5,-127.5,,122.5,150,165,170,,170,430,1,334.49,334.94,325.32,66.68,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Margarita Pleschenkova,M,SBD,Raw,26.5,24-34,24-39,O,72.45,75,80,85,90,,90,40,50,-60,,50,112.5,120,125,,125,265,1,194.46,193.55,187.29,39.34,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Sergey Timoshenko,M,SBD,Raw,15.5,16-17,14-18,T,78.8,85,90,-95,100,,100,60,-65,-67.5,,60,90,105,115,,115,275,1,191.34,189.56,182.77,39.09,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Vladimir Karavaev,M,SBD,Raw,57.5,55-59,50-59,M2,79.65,85,50,150,180,,180,50,100,-110,,100,55,,,,55,335,1,231.60,229.34,221.02,47.35,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Tatyana Altunina,F,SBD,Raw,26,24-34,24-39,O,96.5,105,85,95,100,,100,40,47.5,-50,,47.5,115,130,140,,140,287.5,1,248.84,242.04,208.84,51.79,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Ruslan Gasanov,M,SBD,Raw,31.5,24-34,24-39,O,102.55,105,210,225,232.5,,232.5,150,160,-165,,160,240,260,-270,,260,652.5,1,397.35,393.25,375.51,81.45,,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Ekaterina Glukhova,F,SBD,Wraps,25.5,24-34,24-39,O,54.8,55,80,-95,-95,,80,30,-35,37.5,,37.5,85,-95,95,,95,212.5,1,249.90,254.31,225.06,51.38,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Ruslan Gurbatov,M,SBD,Wraps,25.5,24-34,24-39,O,73.05,75,130,-140,140,,140,100,107.5,,,107.5,130,145,150,,150,397.5,1,290.09,288.58,279.16,58.75,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Denis Balotvin,M,SBD,Wraps,25.5,24-34,24-39,O,94.75,95,-180,-185,185,,185,140,145,150,,150,230,245,250,,250,585,1,368.93,364.32,348.46,75.84,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Yuriy Solovyev,M,SBD,Wraps,26.5,24-34,24-39,O,98.9,105,180,-200,210,,210,140,150,157.5,,157.5,190,200,217.5,,217.5,585,1,361.82,357.62,341.64,74.29,,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Aleksey Kazantsev,M,SBD,Wraps,43.5,40-44,40-49,M1,168.7,135+,-250,-250,,,,,,,,,,,,,,,DQ,,,,,,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Aleksandr Shevchenko #7,M,SD,Raw,29.5,24-34,24-39,O,90.85,95,160,170,180,,180,,,,,,150,160,180,,180,360,1,231.68,228.74,219.13,,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Anton Yurasov,M,SD,Raw,32,24-34,24-39,O,104.65,105,-200,200,220,,220,,,,,,220,230,240,,240,460,1,277.80,275.20,262.78,,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Andrey Volokho,M,SD,Raw,43.5,40-44,40-49,M1,99.8,105,160,-170,,,160,,,,,,200,,,,200,360,1,221.78,219.27,209.43,,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Sergey Zheleznyy,M,BD,Raw,31.5,24-34,24-39,O,86.45,95,,,,,,120,-130,,,120,160,180,-200,,180,300,1,198.06,195.64,187.84,,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Oleg Sizonov,M,BD,Raw,47,45-49,40-49,M1,89.1,95,,,,,,80,-90,90,,90,115,130,-140,,130,220,1,142.98,141.17,135.36,,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Galina Nesterova,F,D,Raw,19,18-19,19-23,T,49.45,51,,,,,,,,,,,-45,-45,45,,45,45,1,56.83,58.29,51.79,,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Liliya Loseva,F,D,Raw,18.5,18-19,19-23,T,58.95,60,,,,,,,,,,,80,100,112.5,,112.5,112.5,1,126.12,127.16,112.38,,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Margarita Kucherova,F,D,Raw,15.5,16-17,14-18,T,60,60,,,,,,,,,,,55,65,75,,75,75,2,83.14,83.62,73.88,,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Lyubov Aleksandrova,F,D,Raw,31,24-34,24-39,O,58.95,60,,,,,,,,,,,115,125,135,,135,135,1,151.34,152.59,134.85,,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Inga Primiskaya,F,D,Raw,34,24-34,24-39,O,59.05,60,,,,,,,,,,,85,90,-100,,90,90,2,100.78,101.59,89.78,,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Darya Kalinina,F,D,Raw,26,24-34,24-39,O,57.05,60,,,,,,,,,,,75,80,85,,85,85,3,97.33,98.57,87.15,,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Elizaveta Konontseva,F,D,Raw,24,24-34,24-39,O,66,70,,,,,,,,,,,102.5,110,112.5,,112.5,112.5,1,117.67,116.70,102.99,,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Pavel Kazakov,M,D,Raw,17.5,18-19,14-18,T,72,75,,,,,,,,,,,122.5,130,145,,145,145,1,106.84,106.39,102.98,,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Mikhail Chernenko,M,D,Raw,23,20-23,24-39,J,72.3,75,,,,,,,,,,,130,140,-150,,140,140,1,102.87,102.41,99.10,,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Mirazor Saidov,M,D,Raw,20,20-23,19-23,J,83.25,85,,,,,,,,,,,200,220,230,,230,230,1,155.01,153.25,147.40,,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Mirazor Saidov,M,D,Raw,20,20-23,19-23,O,83.25,85,,,,,,,,,,,200,220,230,,230,230,1,155.01,153.25,147.40,,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Timofey Kerpushor,M,D,Raw,16.5,16-17,14-18,O,82.9,85,,,,,,,,,,,-195,215,-225,,215,215,2,145.24,143.62,138.16,,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Tatyana Altunina,F,D,Raw,26,24-34,24-39,O,96.5,90+,,,,,,,,,,,115,130,140,,140,140,1,121.17,117.86,101.69,,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Aleksandr Kazakov,M,D,Raw,36.5,35-39,24-39,O,91.1,95,,,,,,,,,,,215,230,-245,,230,230,1,147.82,145.94,139.79,,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Egor Dvilyanskiy,M,D,Raw,26,24-34,24-39,O,89.1,95,,,,,,,,,,,210,220,-230,,220,220,2,142.98,141.17,135.36,,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Vladimir Lukyanchikov,M,D,Raw,59,55-59,60-69,M2,91.7,95,,,,,,,,,,,160,170,180,,180,180,1,115.31,113.84,109.02,,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Denis Svintitskiy,M,D,Raw,24,24-34,24-39,O,104.8,105,,,,,,,,,,,260,275,285,,285,285,1,172.01,170.42,162.73,,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Denis Mazepa,M,D,Raw,37,35-39,24-39,O,96.1,105,,,,,,,,,,,200,210,220,,220,220,2,137.84,136.14,130.16,,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
Evgeniy Mikhalev,M,D,Raw,30.5,24-34,24-39,O,116.55,120,,,,,,,,,,,-220,220,225.5,,225.5,225.5,1,130.80,130.57,125.04,,Yes,Russia,,GFP,,2019-05-11,Russia,,Bryansk,Open Tournament
